call_id,call_date,caller_type,agent_name,restaurant_name,phone,outcome,pos_captured,poc_name,poc_role,availability_window,poc_email
C001196,2026-06-18,ai,dialler-01,Ironwood Bakery,+15553374049,No Answer,,,,,
C000238,2026-07-20,ai,dialler-03,Larkspur Deli Verano Bay,+15558622944,Not reached,,,,,
C001071,2026-07-08,ai,dialler-03,Cardinal Juice Bar 1,5555562775,Callback,,,,,
C000130,2026-07-24,ai,dialler-03,Saffron Osteria,5556765973,No Answer,,,,,
C000814,2026-07-11,ai,dialler-02,Oxbow Cafe,+1 555 730 3997,No Answer,,,,,
C000519,2026-06-26,ai,dialler-03,OLIVE & ASH SANDWICH SHOP,+1 555 445 6225,No Answer,,,,,
C001204,2026-06-14,human,Sana,Gallow Kiosk,5558924270,Callback,,,,,
C000015,2026-06-29,human,Fatima,Palisade Bistro,+1 555 372 8108,Gatekeeper,,,,,
C000260,2026-07-23,ai,dialler-01,Bluebird Supper Club,+1 555 630 9806,Not reached,,,,,
C000866,2026-06-16,ai,dialler-03,Zephyr Osteria,+1 555 824 3081,Callback,,,,,
C000823,2026-07-28,human,Fatima,Mercado Trattoria,5559736840,POS Validated,Meridian Server,,,,
C001668,2026-06-22,human,Layla,Loam Dining Room,5557491465,Callback,,,,,
C000514,2026-07-25,human,Layla,Nine Bridges Osteria,+15552019667,Gatekeeper,,,,,
C001220,2026-07-07,human,Hiba,Thistle Cantina,(555) 246-9789,POS Validated,Meridian,Raj Okafor,Owner,,
C001423,2026-06-26,ai,dialler-03,NINE BRIDGES KITCHEN,555.397.8723,No Answer,,,,,
C001541,2026-06-12,ai,dialler-02,Foxglove Brasserie,5554861457,Callback,,,,,
C000904,2026-06-23,ai,dialler-02,The Quill Wine Bar,5557002920,Data capture incomplete,,,,,
C001840,2026-06-20,human,Layla,Little Bear Room,+1 555 620 2962,No Answer,,,,,
C001076,2026-06-15,human,Layla,Redbird Deli,(555) 536-8094,Not reached,,,,,
C001771,2026-06-23,human,Hiba,Blue Heron Taqueria - Calder Park,5555229877,Not reached,,,,,
C000986,2026-07-31,human,Sana,The Hearth Dining Room,5557537305,No Answer,,,,,
C001375,2026-06-27,ai,dialler-01,The Inkwell Steakhouse,+15558228998,POS Validated,IRONCLAD,,,,
C000446,2026-06-15,human,Fatima,Sable Room,555.199.7142,Not reached,,,,,
C000626,2026-08-02,human,Hiba,The Motherland Creamery,+1 555 827 6490,No Answer,,,,,
C001725,2026-06-10,ai,dialler-02,Golden Hour Juice Bar - Kingsway,555-481-0446,Callback,,,,,
C001456,2026-07-27,ai,dialler-02,Larkspur Smokehouse,555.602.1457,No Answer,,,,,
C001838,2026-07-24,ai,dialler-02,The Little Bear Room,5556202962,No Answer,,,,,
C001601,2026-06-09,ai,dialler-02,Golden Hour Trattoria - Bayview Flats,5559256216,Callback,,,,,
C000192,2026-06-22,ai,dialler-01,Fernwood Trattoria,555-622-5885,Gatekeeper,,,,,
C001831,2026-07-13,ai,dialler-02,Kinship Juice Bar 1,(555) 363-6208,No Answer,,,,,
C000774,2026-06-28,ai,dialler-03,Copper Room,+1 555 850 5021,Not reached,,,,,
C000557,2026-07-11,ai,dialler-02,Amber Coffee,555-739-4907,Data capture incomplete,,,,,
C001694,2026-07-24,human,Hiba,Nightjar Kitchen - Ferrymead,555-357-4301,POS Validated,Rivet Pay,Daniel Johnson,Owner,,daniel.johnson@nightjarkitchen.example
C001556,2026-07-27,human,Layla,Blue Heron Steakhouse,555-863-6260,POS Validated,Meridian (legacy),Nicole Rossi,Co-Owner,,
C000777,2026-07-24,human,Zara,The Nightjar Brasserie,+15554571425,Callback,,,,,
C001127,2026-07-16,ai,dialler-02,Ironwood Sandwich Shop Restaurant,555.368.1296,No Answer,,,,,
C001247,2026-06-09,ai,dialler-02,The Gallow Brasserie,(555) 333-3266,No Answer,,,,,
C001351,2026-07-12,human,Layla,Understory Room,(555) 283-3537,No Answer,,,,,
C001331,2026-07-29,ai,dialler-02,The Roan Smoothie,555-280-4322,Data capture incomplete,,Sean Singh,,,
C000946,2026-07-13,human,Fatima,Loam Sandwich Shop Verano Bay,5558706534,No Answer,,,,,
C001782,2026-07-02,human,Zara,Cardinal Cantina,555-486-5259,No Answer,,,,,
C001612,2026-07-18,ai,dialler-01,Dovetail House,555.836.2332,Not reached,,,,,
C001233,2026-08-01,human,Hiba,Prairie Deli,5557915596,No Answer,,,,,
C001489,2026-06-21,human,Fatima,Sixpence Trattoria,555.551.7565,No Answer,,,,,
C001036,2026-06-13,human,Layla,Juniper Osteria,555.543.1894,Callback,,,,,
C001275,2026-07-12,ai,dialler-03,The Nightjar Taqueria,+15552351065,No Answer,,,,,
C000251,2026-07-15,human,Hiba,The Sparrow Supper Club,(555) 433-9255,POS Validated,meridian,,,,
C001568,2026-07-07,ai,dialler-01,Silverfin Supper Club Restaurant,+1 555 982 6948,POS Validated,meridian,,,,
C001704,2026-08-01,ai,dialler-01,Foxtail Cantina,+15559297546,No Answer,,,,,
C000616,2026-06-20,ai,dialler-03,The Bluebird Brasserie,555.616.7261,Callback,,,,,
C001553,2026-07-07,ai,dialler-03,Sparrow Table,5559252887,Callback,,,,,
C001126,2026-06-23,ai,dialler-03,Ironwood Sandwich Shop,+15553681296,Callback,,,,,
C001206,2026-08-01,human,Fatima,Gallow Kiosk Restaurant,5558924270,No Answer,,,,,
C001174,2026-07-14,human,Layla,AMBER STEAKHOUSE,+15556363079,POS Validated,Ironclad,Nadia Le,GM,,
C000693,2026-07-16,human,Layla,Jackdaw Alehouse,+1 555 940 7431,No Answer,,,,,
C001008,2026-06-29,ai,dialler-02,Plumb Wine Bar,555.632.4586,Not reached,,,,,
C000857,2026-06-14,ai,dialler-01,Wren Donuts,+1 555 831 2912,Not reached,,,,,
C000621,2026-07-24,human,Fatima,Cobalt Kitchen,5554784952,POS Validated,Cadence Mini,Grace Hernandez,Managing Partner,,
C000865,2026-06-25,ai,dialler-01,ZEPHYR OSTERIA,555.824.3081,POS Validated,Ironclad,,,,
C001234,2026-07-11,human,Sana,Prairie Deli - Sablewood,(555) 791-5596,POS Validated,vellum pos,Ana Garcia,General Manager,Before 11am,ana.garcia@prairiedeli.example
C001095,2026-06-25,human,Sana,Thistle Brasserie - Sunfield,555.348.5831,No Answer,,,,,
C000940,2026-07-14,ai,dialler-02,Tallgrass Dining Room,5558569032,Data capture incomplete,,David Chen,,,
C001750,2026-08-01,ai,dialler-03,Vesper Supper Club,555.268.5490,No Answer,,,,,
C000762,2026-06-19,human,Fatima,Stonecutter Oyster Bar,+15559365786,POS Validated,VELLUM,,,,
C000858,2026-06-30,ai,dialler-01,Bramble Cantina,+1 555 201 0991,Data capture incomplete,,,,,
C001403,2026-06-15,ai,dialler-01,Zephyr Bakery,555-334-9559,Callback,,,,,
C001820,2026-06-25,human,Hiba,The Harrow Tavern,5559386109,Not reached,,,,,
C001263,2026-07-30,human,Layla,Gallow Taqueria - Marisol,+1 555 561 2338,Data capture incomplete,,,,,
C000126,2026-06-25,human,Fatima,Kinship Taqueria Verano Bay,(555) 145-6827,No Answer,,,,,
C000419,2026-07-28,human,Fatima,Kettle Grill,+1 555 331 4451,Callback,,,,,
C000742,2026-07-12,ai,dialler-02,Olive & Ash Trattoria,(555) 457-1339,Data capture incomplete,,,,,
C001193,2026-07-02,ai,dialler-03,Tallgrass Brasserie Restaurant,+15559577509,Not reached,,,,,
C000998,2026-07-31,ai,dialler-01,Gallow Deli - Bayview Flats,+1 555 723 6254,Gatekeeper,,,,,
C001320,2026-08-02,ai,dialler-01,Juniper Chophouse,5555032669,No Answer,,,,,
C001048,2026-07-17,human,Layla,Olive & Ash Smoothie,555.216.2459,No Answer,,,,,
C001640,2026-06-24,human,Sana,Magpie Wine Bar,(555) 363-7092,No Answer,,,,,
C000667,2026-07-09,human,Zara,Bellwether Smoothie 1 Restaurant,5557810274,POS Validated,Meridian,Paul Rossi,Owner,,paul.rossi@bellwethersmoothie.example
C001538,2026-06-16,ai,dialler-03,LARKSPUR TRATTORIA,+1 555 738 2144,Gatekeeper,,,,,
C000550,2026-07-13,ai,dialler-03,Magpie Kiosk,(555) 377-2256,No Answer,,,,,
C000337,2026-06-29,human,Sana,Harrow Grill,555.950.0363,Not reached,,,,,
C001185,2026-06-10,human,Fatima,LOAM BAKERY,(555) 140-8104,Callback,,,,,
C000139,2026-07-31,human,Fatima,Heron Cafe,+15559567375,Callback,,,,,
C000908,2026-07-26,human,Zara,Blue Heron Supper Club,5553493646,No Answer,,,,,
C000863,2026-07-20,human,Sana,Copper Kitchen,555-848-4215,Data capture incomplete,,,,,
C001687,2026-08-02,ai,dialler-01,Little Bear Sandwich Shop,555.983.6685,Callback,,,,,
C001676,2026-06-10,human,Sana,Bellwether Coffee,+1 555 963 2517,No Answer,,,,,
C000065,2026-06-12,human,Layla,Sorrel Trattoria,5555746286,No Answer,,,,,
C000678,2026-06-28,human,Hiba,Kinship Dining Room Restaurant,+15555390639,Not reached,,,,,
C000256,2026-07-19,human,Fatima,Sable Bakery,555.682.1882,No Answer,,,,,
C001329,2026-07-01,human,Hiba,Hearth Bakery Verano Bay,+15555499791,POS Validated,Ironclad POS,Carlos Johnson,Owner,Tue/Thu mornings,carlos.johnson@hearthbakery.example
C000923,2026-06-23,human,Zara,The Nettle Deli 1,5555329902,POS Validated,Fern Post,Emily Chen,Owner,,
C000716,2026-07-15,ai,dialler-02,Rookery Osteria,+15555385752,Not reached,,,,,
C000925,2026-06-22,ai,dialler-02,Foxglove Alehouse,555-435-3105,POS Validated,Rivet Pay,,,,
C000039,2026-06-09,human,Hiba,Ember Dining Room,555-383-0788,POS Validated,meridian,Christina Kim,Owner,Weekdays after 3pm,christina.kim@emberdiningroom.example
C001300,2026-07-17,human,Fatima,Basil & Bone Cafe,+15553709634,Data capture incomplete,,,,,
C001484,2026-07-18,human,Layla,Blue Heron Smokehouse,555.607.2815,Data capture incomplete,,Monica Murphy,,,
C000203,2026-06-24,ai,dialler-01,Kinship Boba,+1 555 543 9711,Not reached,,,,,
C000305,2026-07-27,ai,dialler-03,Yarrow Cafe,+15552789922,No Answer,,,,,
C000340,2026-07-13,human,Zara,Wildwood Bistro,555.564.1735,Gatekeeper,,,,,
C000148,2026-07-19,human,Layla,Quarry Room,5558430541,Callback,,,,,
C000901,2026-06-11,ai,dialler-01,Vesper Alehouse,555.780.8383,Gatekeeper,,,,,
C000450,2026-06-28,human,Sana,Thicket Kiosk Verano Bay,555.510.2785,No Answer,,,,,
C001379,2026-07-07,human,Zara,Bramble Chophouse - Corvo Heights,555-487-6390,POS Validated,Tessera Express,Paul Kim,Operations Manager,,
C001304,2026-06-28,ai,dialler-01,Jackdaw Bistro,555-995-9984,No Answer,,,,,
C000697,2026-07-28,ai,dialler-01,Bellwether Kitchen,+15559967188,Not reached,,,,,
C000200,2026-06-18,ai,dialler-02,Thistle Supper Club,5558464523,POS Validated,Orbit,,,,
C000403,2026-06-16,human,Sana,Violet Chophouse,+1 555 790 1402,Callback,,,,,
C001083,2026-06-16,ai,dialler-01,Yarrow Food Truck,555.291.8643,POS Validated,Cadence Mini,,,,
C001012,2026-06-28,human,Sana,Driftwood Steakhouse,5556158123,No Answer,,,,,
C000504,2026-07-04,ai,dialler-03,PIKE JUICE BAR,555.300.9825,No Answer,,,,,
C000046,2026-06-14,ai,dialler-01,Persimmon Bistro,555-657-2844,POS Validated,Meridian,,,,
C000634,2026-07-02,ai,dialler-03,Verde Bakery,5559239455,Data capture incomplete,,David Brown,,,
C001207,2026-06-10,human,Layla,Oxbow Bakery - Corvo Heights,5559952330,Callback,,,,,
C001865,2026-07-01,ai,dialler-02,GALLOW HOUSE,555-900-8040,Callback,,,,,
C001534,2026-06-11,ai,dialler-03,Warbler Cantina,5559299863,POS Validated,Northstar Restaurant,Hassan Hernandez,Owner,Mon-Fri 10am-12pm,
C001293,2026-06-27,human,Sana,Salt & Vine Bistro,+1 555 423 0259,Not reached,,,,,
C001449,2026-07-20,human,Sana,Roan Boba,555-725-9463,Not reached,,,,,
C000627,2026-07-27,human,Fatima,Tidewater Deli,555-737-4233,No Answer,,,,,
C000953,2026-07-11,human,Fatima,Little Bear Creamery,+15552039178,Callback,,,,,
C000568,2026-06-18,ai,dialler-02,Cobalt Alehouse,555.518.8227,Data capture incomplete,,Rachel Miller,,,
C000689,2026-08-02,human,Hiba,Alder Wine Bar - Harbor Point,5558863833,POS Validated,meridian cloud,Victor Kim,Managing Partner,,
C001874,2026-07-10,ai,dialler-03,Verde Osteria,+15556271295,Not reached,,,,,
C001176,2026-06-28,ai,dialler-03,Tallgrass Room,+15556406643,No Answer,,,,,
C001579,2026-07-29,ai,dialler-02,Stonecutter Brasserie,(555) 829-5726,Gatekeeper,,,,,
C000638,2026-07-09,ai,dialler-01,Rambler Boba - Harbor Point,(555) 441-2099,Not reached,,,,,
C000458,2026-06-22,ai,dialler-01,Golden Hour Room,5555758332,Callback,,,,,
C001110,2026-07-29,human,Zara,Blue Heron Kitchen,(555) 991-9223,Gatekeeper,,,,,
C001679,2026-06-26,ai,dialler-02,Foxtail Table,+1 555 851 0642,POS Validated,cadence,,,,
C000087,2026-07-06,ai,dialler-03,Zephyr Chophouse Restaurant,555-751-5481,No Answer,,,,,
C001163,2026-06-11,ai,dialler-01,Fallowfield Table Verano Bay,+15552962646,No Answer,,,,,
C000205,2026-06-16,human,Hiba,Quarry House,555.251.6300,Data capture incomplete,,Frank Torres,,,
C000482,2026-07-17,ai,dialler-02,TALLGRASS TRATTORIA,+15555261226,No Answer,,,,,
C001303,2026-07-12,ai,dialler-03,Jackdaw Bistro,+1 555 995 9984,Not reached,,,,,
C001322,2026-07-18,human,Zara,Gallow Osteria,+15551838658,Callback,,,,,
C001307,2026-08-01,human,Hiba,Little Bear Tavern,5557587722,Callback,,,,,
C001365,2026-06-17,human,Fatima,Sparrow Oyster Bar,555.903.3943,No Answer,,,,,
C001707,2026-07-12,ai,dialler-03,Bramble Taqueria,5559603193,Data capture incomplete,,Monica Rossi,,,
C001386,2026-06-19,ai,dialler-02,The Larkspur Supper Club,555.632.1450,POS Validated,Ironclad POS,,,,
C001302,2026-06-30,ai,dialler-03,Jackdaw Bistro,5559959984,Callback,,,,,
C000749,2026-06-29,ai,dialler-01,The Rambler Cantina,(555) 223-4047,Gatekeeper,,,,,
C000457,2026-06-15,ai,dialler-02,Golden Hour Room,555.575.8332,Callback,,,,,
C000477,2026-07-03,ai,dialler-01,NORTHBANK TAVERN,+1 555 280 7711,Data capture incomplete,,Luis Chen,,,
C000809,2026-06-12,ai,dialler-02,Copper Steakhouse,555.403.9796,Callback,,,,,
C001478,2026-07-06,ai,dialler-03,Larkspur Counter,+15553196028,Callback,,,,,
C001039,2026-06-24,ai,dialler-02,Orchard Kitchen,5558414766,Data capture incomplete,,,,,
C000378,2026-06-10,human,Layla,Umber Supper Club - Fox Hollow,555-572-0830,POS Validated,ironcladpos,Ahmed Garcia,GM,,ahmed.garcia@umbersupperclub.example
C000943,2026-06-23,ai,dialler-03,Tallgrass Dining Room,555.856.9032,POS Validated,Vellum,Paul Kowalski,GM,Weekends only,paul.kowalski@tallgrassdiningroo.example
C000597,2026-06-24,ai,dialler-02,Bramble Kitchen Restaurant,5555961384,Gatekeeper,,,,,
C000252,2026-06-20,human,Layla,BASIL & BONE TO GO,555.206.6682,No Answer,,,,,
C001733,2026-06-23,human,Zara,Bellwether Chophouse,+1 555 728 3254,No Answer,,,,,
C001362,2026-06-14,ai,dialler-02,Redbird Taqueria - Corvo Heights,(555) 205-1354,Callback,,,,,
C000633,2026-07-22,human,Fatima,Driftwood Chophouse Restaurant,+1 555 548 4384,Not reached,,,,,
C000374,2026-07-04,human,Layla,Magpie Kitchen,5556333160,No Answer,,,,,
C001092,2026-07-27,human,Zara,Kingfisher Wine Bar,+1 555 909 3388,Data capture incomplete,,,,,
C000386,2026-06-14,human,Hiba,The Quill Cantina,+1 555 480 1308,Gatekeeper,,,,,
C000400,2026-06-25,human,Fatima,Violet Chophouse,(555) 790-1402,Data capture incomplete,,,,,
C000476,2026-07-22,ai,dialler-01,The Yarrow Donuts,+15558394390,Callback,,,,,
C000014,2026-06-20,human,Zara,Orchard Steakhouse,(555) 864-0367,POS Validated,Tessera,Tony Novak,Owner,Tue/Thu mornings,
C000554,2026-07-28,ai,dialler-03,Vesper Osteria,+1 555 181 2316,Data capture incomplete,,Robert Rossi,,,
C001240,2026-06-21,ai,dialler-02,Alder Trattoria,555-289-8870,Not reached,,,,,
C001114,2026-06-29,human,Zara,Pike Grill,+15557289782,POS Validated,Meridian Cloud POS,James Johnson,Owner,,
C000464,2026-07-04,human,Sana,Roan Alehouse - Ferrymead,555.918.3459,Not reached,,,,,
C000137,2026-06-17,ai,dialler-03,Redbird Supper Club,555-763-3990,Not reached,,,,,
C001371,2026-07-16,ai,dialler-02,Rookery Kitchen,555.647.2873,Callback,,,,,
C001626,2026-06-27,ai,dialler-03,Kinship Smoothie,5554209875,Data capture incomplete,,,,,
C001872,2026-07-31,ai,dialler-02,Halcyon Cantina - Ferrymead,+15558540356,No Answer,,,,,
C001352,2026-06-22,ai,dialler-02,Harrow Trattoria,+1 555 396 7061,Callback,,,,,
C000772,2026-07-13,human,Fatima,Violet House,555.774.0057,Not reached,,,,,
C001432,2026-06-23,ai,dialler-01,Nine Bridges Wine Bar,555-104-4446,Not reached,,,,,
C000152,2026-07-12,ai,dialler-01,Pike Room,555-535-7262,Callback,,,,,
C001623,2026-06-21,ai,dialler-03,Pike Bakery,555-551-3176,POS Validated,CADENCE,Sofia Johnson,Owner,,
C000357,2026-06-30,ai,dialler-02,Sparrow Juice Bar,+1 555 732 4126,Not reached,,,,,
C000640,2026-06-13,human,Fatima,Heron Kitchen,+1 555 111 3944,Not reached,,,,,
C000109,2026-07-12,ai,dialler-01,Oxbow Table - Stillwater,555-925-5921,POS Validated,Vellum POS,,,,
C001045,2026-06-22,ai,dialler-03,Olive and Ash Smoothie,(555) 216-2459,POS Validated,Cadence POS,,,,
C001789,2026-07-01,ai,dialler-01,Kinship Juice Bar - Sablewood,555-714-1833,No Answer,,,,,
C000581,2026-07-06,human,Zara,Anchor Alehouse Restaurant,555-442-0347,POS Validated,Vellum,,,,
C000806,2026-07-29,ai,dialler-01,Ironwood Tavern,5552246752,Callback,,,,,
C001656,2026-07-02,human,Fatima,Foxtail Room,555-505-7261,POS Validated,Northstar,Michael Novak,Owner,,
C000743,2026-06-21,human,Fatima,Cardinal Smoothie,555-456-3086,Callback,,,,,
C001509,2026-07-18,human,Zara,Cardinal Food Truck,+1 555 305 7742,No Answer,,,,,
C001370,2026-06-16,ai,dialler-03,Rookery Kitchen,5556472873,POS Validated,Vellum,,,,
C001535,2026-08-01,ai,dialler-01,Marrow Supper Club,555-459-0284,Callback,,,,,
C000843,2026-07-29,ai,dialler-01,Basil & Bone Chophouse,(555) 744-8043,No Answer,,,,,
C000903,2026-07-27,human,Zara,Vesper Alehouse Restaurant,(555) 780-8383,No Answer,,,,,
C001046,2026-06-16,ai,dialler-02,Olive & Ash Smoothie,5552162459,No Answer,,,,,
C000025,2026-07-21,human,Hiba,Wildwood Dining Room,555-831-9889,No Answer,,,,,
C000970,2026-07-17,ai,dialler-03,The Tin Roof Wine Bar,555-952-8676,No Answer,,,,,
C001529,2026-06-12,ai,dialler-01,Oxbow Cantina,5552335723,POS Validated,Cadence Mini,Raj Hernandez,General Manager,,
C000707,2026-07-14,human,Hiba,Prairie Grill,+1 555 772 7876,Not reached,,,,,
C001226,2026-07-12,human,Layla,Ember Creamery 1,5553927654,Callback,,,,,
C000171,2026-07-20,ai,dialler-03,Redbird Wine Bar,(555) 844-4150,Data capture incomplete,,,,,
C001675,2026-07-02,ai,dialler-01,Bellwether Coffee,+15559632517,Not reached,,,,,
C001073,2026-07-25,human,Zara,Basil & Bone Osteria,555-916-5753,No Answer,,,,,
C001870,2026-07-03,ai,dialler-03,Jackdaw Oyster Bar - Greenhithe,(555) 462-6327,POS Validated,Meridian Server,,,,
C001164,2026-06-16,human,Zara,The Wren Tavern,555.127.2020,Callback,,,,,
C001069,2026-07-13,ai,dialler-02,Rambler Tavern,+1 555 494 2134,Callback,,,,,
C000417,2026-06-10,ai,dialler-01,Kettle Grill,+1 555 331 4451,Callback,,,,,
C001490,2026-07-18,human,Layla,Sixpence Trattoria,(555) 551-7565,Not reached,,,,,
C001833,2026-07-28,human,Zara,Kinship Juice Bar 1,555-363-6208,Gatekeeper,,,,,
C000178,2026-06-23,ai,dialler-01,The Cinder Trattoria,+15551839308,Data capture incomplete,,,,,
C000385,2026-06-27,human,Layla,Quill Cantina,+15554801308,Gatekeeper,,,,,
C000349,2026-06-24,human,Hiba,Umber Osteria,555-354-4548,POS Validated,Meridian (legacy),Peter Petrou,GM,,
C000045,2026-07-22,human,Hiba,Copper Wine Bar,5557533410,Callback,,,,,
C000936,2026-07-01,human,Layla,Nightjar Smoothie 1,5554764333,No Answer,,,,,
C001590,2026-07-01,ai,dialler-03,Golden Hour Steakhouse,555-298-7200,POS Validated,Cadence Mini,Frank Rodriguez,General Manager,Before 11am,
