source_row_id,source_platform,scraped_date,name,address,city,postcode,neighbourhood,phone,website,cuisine,price_band,rating,review_count,fullservice_keyword_filter,fullservice_llm_filter,fullservice_llm_confidence,pos_system,pos_signal,pos_eligibility,chain_size_bucket,restaurant_group
R001856,bookwell,2026-07-18,Heron Osteria,5152 N Cortez St,Verano Bay,40214,Marisol,5558316871,https://www.heronosteria.example,Italian,$$$$,3.5,360,pass,pass,0.85,QuillPay,website_fingerprint,pass,SME,
R002055,bookwell,2026-06-30,Juniper Smokehouse,5283 W Rivermead Blvd,Verano Bay,40488,Miradero,555.466.9682,https://www.junipersmokehouse.example,French,$,4.9,1188,pass,pass,0.76,Unknown,none,unknown,SME,
R002124,atlasmaps,2026-07-01,Northbank Taqueria,1328 N Quinton St,Verano Bay,40107,Corvo Heights,555.577.5501,https://www.northbanktaqueria.example,Vietnamese,$,3.8,963,pass,pass,0.79,,none,unknown,SME,
R001941,tablefind,2026-06-30,Zephyr Dining Room - Quarry End,876 East Mallow Street,Verano Bay,40697,Sunfield,5553678226,https://www.zephyrdiningroom.example,Greek,$$$$,3.4,986,pass,pass,0.75,n/a,none,unknown,SME,
R001560,roamly,2026-07-11,Nine Bridges House,1492 East Calder Blvd,Verano Bay,40652,Old Mill,5553497342,https://www.ninebridgeshouse.example,Steakhouse,$$$,3.9,1784,pass,pass,0.88,unknown,none,unknown,SME,
R002038,dineline,2026-07-20,Inkwell Wine Bar,4261 W Fennimore St,Verano Bay,40682,Palisade Park,+15552541760,https://www.inkwellwinebar.example,Japanese,$$$,4.1,756,pass,pass,0.92,cadence,website_fingerprint,fail,SME,
R002262,dineline,2026-07-23,Quarry Creamery Verano Bay,5065 West Lindmere Rd,Verano Bay,40290,Greenhithe,5558458494,https://www.quarrycreamery.example,Italian,$,3.5,184,fail,fail,0.94,UNKNOWN,none,unknown,SME,
R001135,civicpages,2026-07-19,Magpie Taqueria,5941 W Mallow St,Verano Bay,40359,Bramble Row,5559160952,https://www.magpietaqueria.example,Thai,$$,3.9,1001,pass,pass,0.75,,none,unknown,SME,
R001662,atlasmaps,2026-06-30,Silverfin Wine Bar,3260 E Tarrow Ave,Verano Bay,40602,Rivera District,+1 555 120 1242,https://www.silverfinwinebar.example,Contemporary,$$$,4.4,942,pass,pass,0.94,Unknown,none,unknown,SME,
R001197,roamly,2026-07-28,The Nightjar Grill,5852 N Calder Rd,Verano Bay,40284,Sunfield,+1 555 854 0243,https://www.nightjargrill.example,Ethiopian,$$,3.8,45,pass,pass,0.87,Rivet,website_fingerprint,fail,SME,
R003200,tablefind,2026-07-03,Tallgrass Grill Restaurant,2796 N Mallow Street,Verano Bay,40685,Fox Hollow,(555) 961-8056,https://www.tallgrassgrill.example,Contemporary,$$$,3.9,186,pass,pass,0.92,not found,none,unknown,mid-cap,Tallgrass Group
R003305,tablefind,2026-07-15,Saffron Chophouse,2761 S Quinton Rd,Verano Bay,40133,Old Mill,+15552029052,https://www.saffronchophouse.example,Seafood,$$$,4.5,689,pass,pass,0.79,Cadence Mini,website_fingerprint,fail,large,Saffron Inc
R001148,dineline,2026-07-21,Dovetail Bistro,1430 N Prospect Blvd,Verano Bay,40342,Kingsway,+1 555 715 9728,,Contemporary,$$$,4.0,637,pass,pass,0.73,unknown,none,unknown,SME,
R003100,atlasmaps,2026-07-26,Kinship Dining Room,3083 N Calder St,Verano Bay,40574,Harbor Point,+1 555 539 0639,https://www.kinshipdiningroom.example,Indian,$,4.4,1530,pass,pass,0.88,not found,none,unknown,mid-cap,Kinship Group
R000648,tablefind,2026-07-09,Vesper Steakhouse,4834 S Vance Blvd,Verano Bay,40700,Ashgrove,(555) 770-1847,,Spanish,$$,4.2,707,pass,pass,0.96,n/a,none,unknown,SME,
R000930,atlasmaps,2026-07-14,Golden Hour Oyster Bar - Marisol,"4586 E Cortez Ave, Verano Bay",Verano Bay,40276,Templeton,+15558227656,https://www.goldenhouroysterbar.example,Spanish,$$,3.6,370,pass,pass,0.79,UNKNOWN,none,unknown,SME,
R002883,tablefind,2026-07-25,Sparrow Bakery,4868 S Bayard Rd,Verano Bay,40389,Fox Hollow,+15558258849,,Indian,$$,3.2,507,fail,fail,0.73,n/a,none,unknown,SME,
R000273,bookwell,2026-06-30,Nightjar Oyster Bar,3502 S Mallow Blvd,Verano Bay,40484,Kingsway,555.756.4544,https://www.nightjaroysterbar.example,Polish,$$$,4.1,1087,pass,pass,0.74,Quillpay,website_fingerprint,pass,SME,
R000245,atlasmaps,2026-07-15,Salt & Vine Tavern,4211 E Prospect Rd,Verano Bay,40768,Windrow,+1 555 814 2701,https://www.saltvinetavern.example,Barbecue,$,4.5,871,pass,pass,0.9,Unknown,none,unknown,SME,
R001449,roamly,2026-07-15,Alder Table,1471 E Fennimore St,Verano Bay,40222,Sablewood,(555) 144-5820,https://www.aldertable.example,Seafood,$$$$,3.9,1840,pass,pass,0.96,not found,none,unknown,SME,
R001200,tablefind,2026-07-23,Lantern Oyster Bar,5307 W Ashfield Ave,Verano Bay,40102,Calder Park,(555) 592-6669,https://www.lanternoysterbar.example,Peruvian,$$,4.6,1178,pass,pass,0.8,UNKNOWN,none,unknown,SME,
R001492,civicpages,2026-07-25,Rookery Table,6098 E Mallow St,Verano Bay,40122,Stillwater,+1 555 715 9235,https://www.rookerytable.example,Peruvian,$$,4.5,445,pass,pass,0.91,NorthStar,website_fingerprint,pass,SME,
R001980,atlasmaps,2026-07-27,Cardinal Osteria,7697 E Rivermead Blvd,Verano Bay,40781,Bayview Flats,+1 555 274 7438,https://www.cardinalosteria.example,Japanese,$$,4.3,562,pass,pass,0.97,unknown,none,unknown,SME,
R001448,dineline,2026-07-10,Dovetail Wine Bar,1671 E Quinton Rd,Verano Bay,40185,Old Mill,+15558393922,https://www.dovetailwinebar.example,Seafood,$$$,4.2,139,pass,pass,0.86,not found,none,unknown,SME,
R001581,bookwell,2026-07-28,Zephyr Alehouse,4474 E Rivermead Ave,Verano Bay,40661,Bayview Flats,555-784-6767,https://www.zephyralehouse.example,Greek,$$,3.8,434,pass,pass,0.95,-,none,unknown,SME,
R001875,atlasmaps,2026-07-02,Thistle Brasserie,7473 N Bayard St,Verano Bay,40779,Rivera District,+1 555 348 5831,https://www.thistlebrasserie.example,Spanish,$$$,3.5,877,pass,pass,0.99,Meridian (legacy),website_fingerprint,pass,SME,
R000565,atlasmaps,2026-07-17,Copper Supper Club,7032 South Mallow Blvd,Verano Bay,40468,Harbor Point,555.326.7872,https://www.coppersupperclub.example,French,$$$$,3.4,574,pass,pass,0.8,not found,none,unknown,SME,
R003462,civicpages,2026-07-05,Kettle Trattoria,4121 E Halloway Blvd,Port Adair,40165,,555.683.7997,https://www.kettletrattoria.example,Japanese,$$,4.1,1306,pass,pass,0.95,unknown,none,unknown,SME,
R002963,tablefind,2026-07-01,Magpie Cafe,3598 N Calder Ave,Verano Bay,40276,Alder Heights,555.822.2697,https://www.magpiecafe.example,Mediterranean,$$$$,4.6,977,fail,fail,0.83,Fernpost,website_fingerprint,fail,SME,
R002628,tablefind,2026-07-18,Wren Creamery,3429 N Calder St,Verano Bay,40716,Lantern Hill,+15555363372,,Barbecue,$$$,4.3,131,fail,fail,0.84,N/A,none,unknown,SME,
R002056,dineline,2026-07-07,Juniper Smokehouse,"5283 W Rivermead Blvd, Verano Bay",Verano Bay,40296,Miradero,+1 555 466 9682,https://www.junipersmokehouse.example,French,$,4.8,968,pass,pass,0.82,unknown,none,unknown,SME,
R001571,bookwell,2026-07-02,Nightjar Brasserie,5572 W Rivermead St,Verano Bay,40228,Ferrymead,555-457-1425,https://www.nightjarbrasserie.example,Korean,$$,4.2,217,pass,pass,0.96,ironcladpos,website_fingerprint,fail,SME,
R002977,dineline,2026-07-04,GOLDEN HOUR JUICE BAR,1642 W Bayard Road,Verano Bay,40463,Marisol,,https://www.goldenhourjuicebar.example,Peruvian,$$$,4.4,217,fail,fail,0.73,Fernpost,website_fingerprint,fail,SME,
R002032,roamly,2026-07-22,Cobalt Trattoria Restaurant,4156 North Ashfield St,Verano Bay,40224,Rivera District,555-558-7403,https://www.cobalttrattoria.example,Ethiopian,$$,3.8,796,pass,pass,0.87,unknown,none,unknown,SME,
R000206,civicpages,2026-07-05,Olive & Ash Grill,5047 W Halloway Road,Verano Bay,40603,Palisade Park,(555) 969-5652,https://www.oliveashgrill.example,Thai,$,3.4,291,pass,pass,0.97,N/A,none,unknown,SME,
R001339,roamly,2026-07-01,Roan Bistro,6881 North Tarrow Street,Verano Bay,40363,Calder Park,555-622-5686,https://www.roanbistro.example,Contemporary,$$,3.9,414,pass,pass,0.84,rivet,website_fingerprint,fail,SME,
R001243,tablefind,2026-07-26,Sable Wine Bar,2111 S Rivermead Blvd,Verano Bay,40691,Cedar Cross,+1 555 279 4652,,Korean,$$$,4.3,1522,pass,pass,0.84,-,none,unknown,SME,
R002749,dineline,2026-07-27,Tin Roof Sandwich Shop 1,1294 W Lindmere Rd,Verano Bay,40459,Fox Hollow,5551993932,https://www.tinroofsandwichshop1.example,Ethiopian,$$$$,3.8,1763,fail,fail,0.77,n/a,none,unknown,SME,
R003434,bookwell,2026-07-21,Thicket Wine Bar,4848 S Halloway St,Sundermere,40156,,+15557185655,https://www.thicketwinebar.example,Greek,$$$,4.6,107,pass,pass,0.83,ironcladpos,website_fingerprint,fail,SME,
R003231,tablefind,2026-07-15,Copper House,3072 North Quinton Road,Verano Bay,40266,Calder Park,+1 555 300 9087,https://www.copperhouse.example,Mexican,$$,4.4,1008,pass,pass,0.92,Ironclad,website_fingerprint,fail,mid-cap,Copper Group
R002630,bookwell,2026-07-06,Quill Donuts,819 N Mallow Blvd,Verano Bay,40184,Sunfield,+15552874042,https://www.quilldonuts.example,Vietnamese,$$$$,4.5,1240,fail,fail,0.81,Unknown,none,unknown,SME,
R002716,roamly,2026-07-12,Anchor Coffee 1,815 North Fennimore Street,Verano Bay,40304,Harbor Point,555-389-3556,https://www.anchorcoffee1.example,Italian,$$,3.7,316,fail,fail,0.76,Vellum POS,website_fingerprint,pass,SME,
R002742,atlasmaps,2026-07-12,Nettle Juice Bar - Cedar Cross,6311 North Mallow Boulevard,Verano Bay,40614,Quarry End,(555) 986-6546,,French,$$$,4.6,1605,fail,fail,0.78,N/A,none,unknown,SME,
R003076,atlasmaps,2026-07-11,Persimmon Kitchen - Kingsway,6054 West Calder Blvd,Verano Bay,40216,Windrow,+1 555 536 1955,https://www.persimmonkitchen.example,Indian,$,4.6,721,pass,pass,0.83,,none,unknown,mid-cap,Persimmon Group
R002679,bookwell,2026-07-14,Oxbow Boba,4810 N Fennimore Rd,Verano Bay,40543,Bramble Row,5551616858,,Mediterranean,$$,3.9,1565,fail,fail,0.96,Unknown,none,unknown,SME,
R000346,civicpages,2026-07-05,Redbird Wine Bar Restaurant,"4627 E Halloway Blvd, Verano Bay",Verano Bay,40295,Bayview Flats,(555) 844-4150,https://www.redbirdwinebar.example,Thai,$,3.6,1353,pass,pass,0.92,N/A,none,unknown,SME,
R000662,tablefind,2026-07-13,Sparrow Smokehouse,7887 N Cortez Blvd,Verano Bay,40640,Ashgrove,555.764.8181,https://www.sparrowsmokehouse.example,Steakhouse,$$$,4.1,849,pass,pass,0.96,UNKNOWN,none,unknown,SME,
R003017,atlasmaps,2026-07-25,Foxtail Smoothie Verano Bay,3305 South Cortez Road,Verano Bay,40761,Calder Park,5552444031,https://www.foxtailsmoothie.example,Indian,$$$,4.7,570,fail,fail,0.9,-,none,unknown,SME,
R003210,atlasmaps,2026-07-08,Zephyr Osteria,6154 S Tarrow Blvd,Verano Bay,40163,Kingsway,+15558243081,https://www.zephyrosteria.example,Peruvian,$,3.5,1215,pass,pass,0.88,IRONCLAD,website_fingerprint,fail,mid-cap,Zephyr Group
R001132,roamly,2026-07-20,KINGFISHER TAVERN,5371 West Vance Avenue,Verano Bay,40182,Ferrymead,555-115-2219,https://www.kingfishertavern.example,Steakhouse,$$$$,4.1,113,pass,pass,0.84,N/A,none,unknown,SME,
R002698,dineline,2026-07-22,Basil & Bone Cafe,3839 N Halloway Rd,Verano Bay,40154,Cedar Cross,555.370.9634,https://www.basilbonecafe.example,Spanish,$$$,4.1,92,fail,fail,0.75,ORBIT,website_fingerprint,pass,SME,
R002674,tablefind,2026-07-18,Larkspur Counter,5022 West Cortez Road,Verano Bay,40384,Kingsway,+1 555 319 6028,,Greek,$$,4.5,835,pass,fail,0.97,not found,none,unknown,SME,
R000250,bookwell,2026-07-03,Juniper Supper Club,6414 S Fennimore Ave,Verano Bay,40461,Bramble Row,,https://www.junipersupperclub.example,Mediterranean,$$,3.5,1475,pass,pass,0.95,Unknown,none,unknown,SME,
R002125,civicpages,2026-07-12,Northbank Taqueria,1328 N Quinton Street,Verano Bay,40555,Corvo Heights,(555) 577-5501,https://www.northbanktaqueria.example,Vietnamese,$,3.5,963,pass,pass,0.91,UNKNOWN,none,unknown,SME,
R003125,civicpages,2026-07-23,Marrow Tavern,1554 S Rivermead Blvd,Verano Bay,40369,Ferrymead,555.125.1480,https://www.marrowtavern.example,Seafood,$$$,4.5,32,pass,pass,0.91,Northstar,website_fingerprint,pass,mid-cap,Marrow Group
R001908,dineline,2026-07-07,HARROW TABLE,2061 South Lindmere Street,Verano Bay,40500,Sablewood,+15551835255,https://www.harrowtable.example,Vietnamese,$$,4.6,221,pass,pass,0.93,Unknown,none,unknown,SME,
R001920,atlasmaps,2026-07-26,Cinder Tavern Restaurant,5710 West Wexley Avenue,Verano Bay,40498,Ferrymead,+1 555 966 5026,https://www.cindertavern.example,Barbecue,$$$,4.0,1233,pass,pass,0.8,fernpost,website_fingerprint,fail,SME,
R002952,bookwell,2026-07-01,Thicket Juice Bar - Corvo Heights,293 W Quinton Boulevard,Verano Bay,40620,Old Mill,(555) 571-0374,https://www.thicketjuicebar.example,Steakhouse,$$$,3.9,293,pass,fail,0.77,Saltbox,website_fingerprint,fail,SME,
R001191,bookwell,2026-07-03,Nine Bridges Bistro,5405 E Calder Ave,Verano Bay,40216,Ferrymead,+15556940146,https://www.ninebridgesbistro.example,Vietnamese,$$$,4.1,461,pass,pass,0.9,n/a,none,unknown,SME,
R002345,tablefind,2026-07-27,Pike Express,5697 N Mallow Blvd,Verano Bay,40376,Harbor Point,555.828.8303,https://www.pikeexpress.example,Polish,$$,3.7,640,fail,fail,0.88,Cadence Station,website_fingerprint,fail,SME,
R000600,atlasmaps,2026-07-16,KETTLE GRILL,5667 S Lindmere Blvd,Verano Bay,40407,Alder Heights,(555) 331-4451,https://www.kettlegrill.example,Italian,$,3.5,365,pass,pass,0.78,Unknown,none,unknown,SME,
R000737,bookwell,2026-07-21,Foxtail Grill,977 East Lindmere Boulevard,Verano Bay,40326,Fox Hollow,555.192.6335,https://www.foxtailgrill.example,Polish,$$$,4.9,2199,pass,pass,0.98,,none,unknown,SME,
R001996,atlasmaps,2026-07-12,Lantern Taqueria,2587 W Bayard Blvd,Verano Bay,40258,Miradero,+15552903469,,Indian,$$$,4.3,1031,pass,pass,0.96,UNKNOWN,none,unknown,SME,
R000549,dineline,2026-07-09,Orchard Oyster Bar,5335 S Quinton Rd,Verano Bay,40236,Windrow,+15556278100,https://www.orchardoysterbar.example,Thai,$,4.6,387,pass,pass,0.91,-,none,unknown,SME,
R002659,tablefind,2026-07-11,Thicket Donuts,4330 W Prospect St,Verano Bay,40296,Cedar Cross,,https://www.thicketdonuts.example,Greek,$$,3.8,1638,fail,fail,0.74,not found,none,unknown,SME,
R002247,atlasmaps,2026-07-16,Roan Steakhouse,5952 West Lindmere Rd,Verano Bay,40408,Fox Hollow,5556012321,https://www.roansteakhouse.example,Italian,$$,4.7,1252,pass,pass,0.99,-,none,unknown,SME,
R000153,tablefind,2026-07-12,Pike Steakhouse,4275 E Calder Blvd,Verano Bay,40409,Ferrymead,+1 555 411 1874,https://www.pikesteakhouse.example,Polish,$,4.6,1989,pass,pass,0.79,Meridian Server,website_fingerprint,pass,SME,
R001638,dineline,2026-07-17,Heron Wine Bar,482 N Lindmere Blvd,Verano Bay,40495,Corvo Heights,5558142169,https://www.heronwinebar.example,Steakhouse,$$$,4.3,1029,pass,pass,0.76,ORBIT,website_fingerprint,pass,SME,
R000738,roamly,2026-07-20,Little Bear Grill,7609 N Vance Rd,Verano Bay,40475,Greenhithe,5555334184,https://www.littlebeargrill.example,Thai,$$$,3.8,1341,pass,pass,0.92,n/a,none,unknown,SME,
R000970,atlasmaps,2026-07-15,Amber Trattoria,3579 E Fennimore Blvd,Verano Bay,40771,Rivera District,555.396.3860,,Spanish,$$,3.7,454,pass,pass,0.84,,none,unknown,SME,
R001665,dineline,2026-07-20,Silverfin Smokehouse,4142 W Fennimore St,Verano Bay,40581,Harbor Point,555-961-9489,https://www.silverfinsmokehouse.example,Seafood,$$,4.5,592,pass,pass,0.78,-,none,unknown,SME,
R003127,atlasmaps,2026-07-04,The Sparrow Kitchen,610 W Quinton Avenue,Verano Bay,40759,Sablewood,+15558296640,https://www.sparrowkitchen.example,Spanish,$$$$,4.5,1512,pass,pass,0.74,Ironclad,website_fingerprint,fail,mid-cap,Sparrow Group
R002150,civicpages,2026-07-26,Blue Heron House,3639 E Tarrow Rd,Verano Bay,40650,Cedar Cross,5553815052,https://www.blueheronhouse.example,Spanish,$$,4.1,169,pass,pass,0.84,Vellum Restaurant,website_fingerprint,pass,SME,
R002111,atlasmaps,2026-07-24,Sixpence Taqueria,1980 S Calder St,Verano Bay,40649,Sablewood,+1 555 594 9097,https://www.sixpencetaqueria.example,Korean,$$$$,4.1,29,pass,pass,0.75,not found,none,unknown,SME,
R000425,atlasmaps,2026-07-18,Thistle Room - Templeton,669 E Wexley Road,Verano Bay,40591,Greenhithe,+1 555 278 4765,https://www.thistleroom.example,Peruvian,$$$,4.3,225,pass,pass,0.74,not found,none,unknown,SME,
R000052,civicpages,2026-07-05,Prairie Table Verano Bay,"6629 W Prospect St, Verano Bay",Verano Bay,40264,Marisol,+1 555 497 9760,https://www.prairietable.example,Contemporary,$$,4.6,1069,pass,pass,0.95,CADENCE,website_fingerprint,fail,mid-cap,Prairie Table Group
R001151,roamly,2026-07-21,Rambler Grill - Bramble Row,3788 South Rivermead Street,Verano Bay,40680,Marisol,+1 555 803 1171,https://www.ramblergrill.example,Korean,$$,3.9,478,pass,pass,0.84,UNKNOWN,none,unknown,SME,
R000009,dineline,2026-07-09,SABLE DINING ROOM,663 West Quinton Road,Verano Bay,40512,Kingsway,5553171871,https://www.sablediningroom.example,Indian,$$,4.0,1878,pass,pass,0.89,-,none,unknown,mid-cap,Sable Hospitality Group
R000595,bookwell,2026-07-28,Ironwood Brasserie,"7953 N Calder Rd, Verano Bay",Verano Bay,40214,Alder Heights,(555) 200-5279,https://www.ironwoodbrasserie.example,Steakhouse,$$,3.6,99,pass,pass,0.92,N/A,none,unknown,SME,
R002796,civicpages,2026-07-20,VERDE CAFE,2759 E Lindmere St,Verano Bay,40179,Sunfield,+1 555 330 5824,https://www.verdecafe.example,Indian,$$$,3.8,209,pass,fail,0.86,unknown,none,unknown,SME,
R003294,atlasmaps,2026-07-23,Sixpence Trattoria,1177 N Bayard St,Verano Bay,40246,Sunfield,+15555517565,https://www.sixpencetrattoria.example,Seafood,$$$$,5.0,2359,pass,pass,0.75,-,none,unknown,large,Sixpence Inc
R003439,dineline,2026-06-30,Yarrow Osteria - Greenhithe,1934 South Vance Street,Calla Ridge,40339,,+15557234859,https://www.yarrowosteria.example,Thai,$$,4.1,1350,pass,pass,0.8,unknown,none,unknown,SME,
R000688,dineline,2026-07-05,Kettle Supper Club,5206 N Halloway Ave,Verano Bay,40651,Sunfield,555.709.6290,https://www.kettlesupperclub.example,Korean,$$,4.7,1404,pass,pass,0.94,n/a,none,unknown,SME,
R000432,dineline,2026-07-07,Understory Osteria,7915 N Fennimore Ave,Verano Bay,40162,Miradero,+15557624487,https://www.understoryosteria.example,Polish,$$$,4.1,1459,pass,pass,0.88,N/A,none,unknown,SME,
R002379,atlasmaps,2026-07-13,Heron Donuts,5115 W Bayard Ave,Verano Bay,40234,Ferrymead,5555993198,https://www.herondonuts.example,Indian,$$$,3.6,2074,fail,fail,0.88,Unknown,none,unknown,SME,
R001206,dineline,2026-07-16,Foxtail Oyster Bar,883 E Ashfield Ave,Verano Bay,40423,Kingsway,(555) 202-7919,,Mediterranean,$$,4.5,1473,pass,pass,0.78,Unknown,none,unknown,SME,
