deal_id,deal_name,deal_stage,deal_owner,amount,create_date,last_activity_date,associated_contact,company_phone,deal_description,pos_from_crm,source,city
D100485,Jackdaw Alehouse - Alder Heights,Walked-in,Aisha Karim,,2026-06-15,2026-06-15,,+1 555 940 7431,"meridian cloud, Christina Martinez (Owner), 8 locations",Meridian Cloud,human_call,Verano Bay
D100158,Nine Bridges Wine Bar,Eligible,Aisha Karim,,2026-04-20,2026-04-20,,555.104.4446,"vellum, George Lopez (GM), 1 location, called twice, gatekeeper",,human_call,Verano Bay
D100091,Jackdaw Grill,Eligible,Marco Ferrari,,2026-02-17,2026-02-27,Katherine Petrou,555-878-1659,David Le (Managing Partner),,ai_call,Verano Bay
D100389,Thistle Steakhouse,KDM Demo,Aisha Karim,,2026-05-25,2026-06-21,,555-126-4622,"Frank Nguyen (Owner), asked for callback",,ai_call,Verano Bay
D100089,KINSHIP HOUSE,Eligible,Aisha Karim,,2026-04-22,2026-05-02,Omar Lopez,555.973.8022,"meridian cloud, Elena Vasquez (Operations Manager), 1 location",meridian cloud,scrape,Verano Bay
D100294,Cinder Room,Eligible,Tom Brennan,,2026-06-11,2026-06-19,David Williams,+15556490270,10 locations,meridian cloud,referral,Verano Bay
D100081,Bramble Grill,Eligible,Aisha Karim,,2026-03-23,2026-03-25,,(555) 512-6047,cadence station,CADENCE,ai_call,Verano Bay
D100361,Halcyon Table,Eligible,Marco Ferrari,,2026-02-21,2026-03-03,,555-531-3455,"Maria Garcia (GM), 14 locations, happy with current setup",,scrape,Verano Bay
D100369,Salt & Vine Taqueria,Eligible,Priya Shah,,2026-05-12,2026-05-18,,5556448081,1 location,ORBIT,ai_call,Verano Bay
D100105,Juniper Chophouse,Closed Lost,Tom Brennan,,2026-06-09,2026-07-30,,+15555032669,Yolanda Williams (Operations Manager),,ai_call,Verano Bay
D100039,Stonecutter Chophouse,Eligible,Tom Brennan,,2026-06-18,2026-06-21,Tony Chen,555-780-7842,Ana Vasquez (Owner),,ai_call,Verano Bay
D100049,Saffron House,Not Qualified,Tom Brennan,,2026-04-03,2026-05-07,,555-382-8637,David Silva (Owner),,walk-in,Verano Bay
D100319,Bellwether Steakhouse - Lantern Hill,Eligible,Daniel Reyes,,2026-06-12,2026-06-18,,5554096067,"ironclad, 1 location",,scrape,Verano Bay
D100024,Plumb Dining Room,Eligible,Aisha Karim,,2026-02-15,2026-02-23,Katherine Vasquez,(555) 894-7075,"Emily Reyes (Operations Manager), 22 locations",,ai_call,Verano Bay
D100067,Silverfin Bistro,Walked-in,Tom Brennan,,2026-06-27,2026-08-03,,+15555653559,"ironcladpos, Nicole Garcia (Owner), 1 location",ironclad,human_call,Verano Bay
D100237,Tidewater Cantina,Eligible,Marco Ferrari,,2026-06-30,2026-07-02,,+1 555 726 1706,ironclad pos,Ironclad,walk-in,Verano Bay
D100148,Olive & Ash Supper Club,Eligible,Daniel Reyes,,2026-03-04,2026-03-12,Deborah Miller,555.767.7285,not interested in QR,,human_call,Verano Bay
D100093,Salt & Vine Brasserie,Eligible,Priya Shah,,2026-05-04,2026-05-16,,+1 555 726 1196,"orbit systems, 1 location",Orbit,ai_call,Verano Bay
D100367,Nine Bridges Grill,Eligible,Priya Shah,,2026-06-29,2026-07-11,,555.595.1333,"vellum, Tony Martinez (Co-Owner), 50 locations",,walk-in,Verano Bay
D100495,Vesper Alehouse,Eligible,Aisha Karim,,2026-06-24,2026-06-24,,+1 555 780 8383,Angela Chen (Managing Partner),,scrape,Verano Bay
D100323,Sable Dining Room,Eligible,Aisha Karim,,2026-03-04,2026-03-09,Tony Rossi,555-317-1871,"ironclad, Emily Doyle (General Manager)",,ai_call,Verano Bay
D100461,Ironwood Smokehouse,Eligible,Marco Ferrari,,2026-06-06,2026-06-12,,(555) 199-6902,44 locations,,human_call,Verano Bay
D100085,The Understory Taqueria,Eligible,Priya Shah,,2026-06-18,2026-06-23,Luis Johnson,+15559132558,Emily Brown (Operations Manager),IRONCLAD,ai_call,Verano Bay
D100476,The Harrow Osteria,Eligible,Priya Shah,,2026-04-18,2026-04-18,,+15555894188,"bluecrest, Raj Williams (Managing Partner), happy with current setup",Bluecrest,ai_call,Verano Bay
D100383,Thicket Steakhouse,Eligible,Daniel Reyes,,2026-06-02,2026-06-07,,555-554-1251,"ironcladpos, Ana Andino (Co-Owner)",,ai_call,Verano Bay
D100179,Tidewater Brasserie,Eligible,Priya Shah,,2026-06-09,2026-06-19,,555-733-1082,"meridian cloud, 44 locations",,referral,Verano Bay
D100129,HERON OYSTER BAR,Gatekeeper Demo,Priya Shah,,2026-05-01,2026-07-04,Nadia Martinez,555.525.4458,"saltbox, Daniel Kowalski (GM)",,referral,Verano Bay
D100351,Mercado Room,Walked-in,Marco Ferrari,,2026-06-09,2026-07-22,,+15552421511,"Omar Murphy (Owner), 1 location, wants pricing",,referral,Verano Bay
D100254,Quill Wine Bar,Eligible,Daniel Reyes,,2026-06-04,2026-06-08,Luis Kim,555.700.2920,"ironclad, Hassan Miller (Operations Manager)",,scrape,Verano Bay
D100441,Wildwood Tavern,Eligible,Daniel Reyes,,2026-07-14,2026-07-23,,+15556049155,"30 locations, asked for callback",,ai_call,Verano Bay
D100041,Halcyon Dining Room,Eligible,Priya Shah,,2026-03-13,2026-03-25,Paul Martinez,5556442073,"Maria Doyle (General Manager), 7 locations",,ai_call,Verano Bay
D100398,Prairie Grill,Eligible,Priya Shah,,2026-03-18,2026-03-24,Ana Kowalski,555.772.7876,,cadence,scrape,Verano Bay
D100275,Jackdaw Table,Walked-in,Priya Shah,,2026-02-21,2026-04-15,,(555) 296-7017,"cadence, Ahmed Andino (GM)",,walk-in,Verano Bay
D100147,Golden Hour Grill Verano Bay,Not Qualified,Aisha Karim,,2026-06-09,2026-07-01,,5558476830,"Angela Kowalski (Operations Manager), 1 location, wants pricing",,ai_call,Verano Bay
D100127,BRAMBLE WINE BAR,Walked-in,Tom Brennan,,2026-06-30,2026-08-03,,555-699-7998,,,ai_call,Verano Bay
D100475,Kingfisher Table Verano Bay - Stillwater,Eligible,Marco Ferrari,,2026-07-18,2026-07-18,,+15552583898,1 location,,walk-in,Verano Bay
D100268,Thistle House,Gatekeeper Demo,Marco Ferrari,,2026-04-16,2026-06-02,,+1 555 207 1567,"fern post, 1 location",FERNPOST,referral,Verano Bay
D100290,Wildwood Room,Eligible,Marco Ferrari,,2026-06-20,2026-07-01,,(555) 505-7536,,,human_call,Verano Bay
D100422,Kinship Wine Bar,Not Qualified,Daniel Reyes,,2026-02-10,2026-04-11,,+15559792803,"meridian cloud, 1 location",,ai_call,Verano Bay
D100292,Copper Dining Room,Eligible,Daniel Reyes,,2026-05-17,2026-05-25,,+15559343797,"Emily Patel (General Manager), wants pricing",,walk-in,Verano Bay
D100262,Umber Room,Walked-in,Daniel Reyes,,2026-01-26,2026-02-25,Frank Chen,555-378-9332,"Carlos Le (Co-Owner), happy with current setup",,human_call,Verano Bay
D100468,Bluebird Kitchen,Walked-in,Tom Brennan,,2026-06-21,2026-08-03,,555.197.1152,1 location,,walk-in,Verano Bay
D100135,Ironwood Grill,Eligible,Daniel Reyes,,2026-05-12,2026-05-17,,555-134-5738,"vellum pos, 1 location",,human_call,Verano Bay
D100241,Bluebird Supper Club,Gatekeeper Demo,Aisha Karim,,2026-02-24,2026-03-19,Emily Torres,+1 555 630 9806,"ironclad, Frank Lopez (Co-Owner), 14 locations",,walk-in,Verano Bay
D100053,Understory Oyster Bar,KDM Demo,Tom Brennan,,2026-06-08,2026-06-14,,+1 555 532 1346,7 locations,,scrape,Verano Bay
D100171,Fernwood Trattoria,Eligible,Daniel Reyes,,2026-03-24,2026-03-28,Jennifer Le,5556225885,Maria Garcia (Owner),,human_call,Verano Bay
D100055,Bramble Room,Eligible,Priya Shah,,2026-05-03,2026-05-10,,(555) 407-6967,"orbit, 1 location",,ai_call,Verano Bay
D100040,Inkwell Grill,Eligible,Priya Shah,,2026-06-05,2026-06-08,,555.168.2202,"Luis Hernandez (Co-Owner), 1 location",,referral,Verano Bay
D100157,Inkwell Dining Room,Walked-in,Tom Brennan,,2026-01-31,2026-03-04,,5553331445,Sofia Torres (Co-Owner),ironclad,ai_call,Verano Bay
D100395,Rookery Alehouse,Eligible,Aisha Karim,,2026-01-29,2026-02-10,Priya Bianchi,5554002959,,,referral,Verano Bay
D100304,Kinship Dining Room - Ashgrove,Eligible,Priya Shah,,2026-06-12,2026-06-22,Monica Lopez,+15555390639,12 locations,,referral,Verano Bay
D100273,Oxbow Table,Eligible,Priya Shah,,2026-02-02,2026-02-09,,555.925.5921,"Linda Martinez (Owner), 1 location, not interested in QR",,scrape,Verano Bay
D100326,The Persimmon Tavern,Gatekeeper Demo,Priya Shah,,2026-03-22,2026-04-19,Katherine Williams,555-409-1665,"Omar Kim (Owner), 8 locations",,ai_call,Verano Bay
D100184,Violet Cantina,Closed Won,Priya Shah,,2026-07-09,2026-07-18,Kevin Vasquez,555-898-9534,1 location,ironclad,scrape,Verano Bay
D100385,Thicket Tavern,Eligible,Priya Shah,,2026-07-14,2026-07-15,,+15553103664,ironclad,,ai_call,Verano Bay
D100028,Gallow Oyster Bar,Eligible,Daniel Reyes,,2026-04-17,2026-04-17,,5552877453,"ironclad pos, Peter Singh (Owner), 49 locations",,human_call,Verano Bay
D100317,Sorrel Steakhouse - Stillwater,Verbal Yes,Tom Brennan,,2026-05-05,2026-05-10,,555-323-5042,Frank Williams (Operations Manager),,scrape,Verano Bay
D100032,Olive & Ash Alehouse,Eligible,Marco Ferrari,,2026-05-05,2026-05-12,,+15559717723,"fernpost, Frank Novak (General Manager), 1 location",,ai_call,Verano Bay
D100473,HERON BRASSERIE,Eligible,Aisha Karim,,2026-05-22,2026-05-22,,(555) 658-0408,,,ai_call,Verano Bay
D100347,Thistle Trattoria,Eligible,Daniel Reyes,,2026-06-08,2026-06-19,,555.931.1253,Yolanda Hernandez (Managing Partner),,walk-in,Verano Bay
D100122,Lantern Steakhouse,Eligible,Aisha Karim,,2026-06-28,2026-07-02,,+15553799112,wants pricing,,walk-in,Verano Bay
D100160,Kinship Table,KDM Demo,Aisha Karim,,2026-01-30,2026-03-17,Elena Chen,555.506.8500,7 locations,,ai_call,Verano Bay
D100062,Salt & Vine Trattoria,Eligible,Tom Brennan,,2026-07-05,2026-07-14,Deborah Chen,555-454-3132,"Linda Petrou (General Manager), 1 location",,ai_call,Verano Bay
D100276,Tallgrass Oyster Bar - Corvo Heights,Eligible,Aisha Karim,,2026-02-04,2026-02-10,,+1 555 331 0203,"vellum pos, Grace Patel (Operations Manager)",vellum pos,ai_call,Verano Bay
D100005,Foxtail Dining Room - Ferrymead,KDM Demo,Priya Shah,,2026-05-06,2026-05-15,,5552429729,"Carlos Rodriguez (General Manager), 1 location",,referral,Verano Bay
D100124,Alder Taqueria,Walked-in,Priya Shah,,2026-06-15,2026-08-03,,+1 555 858 5963,"George Miller (Owner), 1 location",,referral,Verano Bay
D100466,Kingfisher Steakhouse,Not Qualified,Aisha Karim,,2026-03-30,2026-05-08,,+15555014901,"cadence flex, Linda Bianchi (GM), 1 location, happy with current setup",Cadence POS,human_call,Verano Bay
D100088,Stonecutter Smokehouse,Not Qualified,Tom Brennan,,2026-04-20,2026-05-08,,555-387-2709,1 location,,referral,Verano Bay
D100372,Oxbow Smokehouse,Eligible,Priya Shah,,2026-06-30,2026-06-30,Nicole Rossi,+1 555 847 1677,"meridian cloud, 43 locations",,walk-in,Verano Bay
D100121,Sable Grill Verano Bay,Walked-in,Marco Ferrari,,2026-05-02,2026-06-15,Frank Vasquez,555.610.5450,"vellum restaurant, 1 location",,scrape,Verano Bay
D100458,Lantern Table,Eligible,Tom Brennan,,2026-05-28,2026-06-09,,555-632-1382,"Emily Johnson (Operations Manager), 15 locations",ironcladpos,ai_call,Verano Bay
D100196,Kingfisher Kitchen,Walked-in,Aisha Karim,,2026-02-07,2026-02-24,,555.156.3001,"Monica Patel (Owner), 1 location",,walk-in,Verano Bay
D100438,Vesper Alehouse,Eligible,Priya Shah,,2026-05-24,2026-06-02,Rachel Patel,+1 555 780 8383,Angela Chen (Managing Partner),,scrape,Verano Bay
D100138,Ember Bistro,Eligible,Marco Ferrari,,2026-04-09,2026-04-13,David Andino,+1 555 774 7078,"vellum, 1 location",VELLUM,scrape,Verano Bay
D100415,Tin Roof Steakhouse,Eligible,Aisha Karim,,2026-02-06,2026-02-16,,+1 555 980 6648,"Jennifer Andino (Owner), 1 location",,ai_call,Verano Bay
D100203,The Foxtail Cantina,Eligible,Aisha Karim,,2026-05-08,2026-05-17,,5559297546,fern post,,scrape,Verano Bay
D100396,Silverfin Cantina,Eligible,Priya Shah,,2026-04-28,2026-05-06,,(555) 775-3236,"rivet, Nicole Bianchi (GM), 1 location, called twice, gatekeeper",,human_call,Verano Bay
D100325,The Magpie Osteria,Eligible,Daniel Reyes,,2026-02-05,2026-02-10,,(555) 474-5450,,Ironclad,walk-in,Verano Bay
D100236,Nine Bridges Osteria,Eligible,Priya Shah,,2026-06-10,2026-06-14,Tony Bianchi,555-201-9667,"Jennifer Hernandez (Operations Manager), 1 location, happy with current setup",,referral,Verano Bay
D100410,Violet Steakhouse,Gatekeeper Demo,Daniel Reyes,,2026-04-10,2026-05-21,Kevin Okafor,5558418408,"Rachel Lopez (GM), happy with current setup",,scrape,Verano Bay
D100227,Driftwood Cantina - Quarry End,Walked-in,Priya Shah,,2026-06-14,2026-07-22,Maria Andino,555-907-8907,1 location,,walk-in,Verano Bay
D100305,Halcyon Osteria,Not Qualified,Priya Shah,,2026-05-23,2026-06-02,,5551280232,,,referral,Verano Bay
D100416,Little Bear Wine Bar - Miradero,KDM Demo,Priya Shah,,2026-03-30,2026-06-04,Deborah Novak,+15554297781,"Sean Kowalski (Co-Owner), 1 location",,ai_call,Verano Bay
D100437,The Halcyon Brasserie,KDM Demo,Daniel Reyes,,2026-07-14,2026-08-03,,+15555831742,"meridian cloud, 1 location",,ai_call,Verano Bay
D100108,Plumb Oyster Bar,Eligible,Tom Brennan,,2026-07-10,2026-07-12,Sofia Andino,555-663-7630,Yolanda Lopez (Owner),,walk-in,Verano Bay
D100193,The Northbank Tavern,Eligible,Marco Ferrari,,2026-05-06,2026-05-08,Sofia Kowalski,(555) 280-7711,"cadence station, Nicole Silva (Owner), 10 locations",,scrape,Verano Bay
D100381,Basil & Bone Steakhouse,Eligible,Tom Brennan,,2026-03-08,2026-03-10,,555-411-2176,"11 locations, wants pricing",,referral,Verano Bay
D100418,Kinship Alehouse,Eligible,Tom Brennan,,2026-06-18,2026-06-28,,+1 555 693 9976,"Paul Vasquez (Owner), 1 location",,human_call,Verano Bay
D100215,Silverfin Kitchen,Eligible,Tom Brennan,,2026-04-28,2026-05-10,Christina Rodriguez,555.698.0614,"ironclad, David Garcia (GM)",,ai_call,Verano Bay
D100401,Larkspur Bistro Verano Bay,Eligible,Daniel Reyes,,2026-02-24,2026-03-08,Susan Murphy,555.201.6940,"cadence, Kevin Brown (Owner)",,referral,Verano Bay
D100183,Bramble Cantina,Eligible,Daniel Reyes,,2026-05-01,2026-05-10,,+15552010991,"Daniel Andino (Operations Manager), 1 location",,ai_call,Verano Bay
D100322,Pike Smokehouse - Kingsway,Eligible,Marco Ferrari,,2026-02-24,2026-02-26,,5555179340,"vellum, Elena Murphy (Operations Manager), 1 location, asked for callback",,ai_call,Verano Bay
D100098,Kinship Chophouse,Eligible,Aisha Karim,,2026-04-22,2026-04-23,Linda Doyle,(555) 881-6926,"Carlos Rossi (Owner), 1 location",Northstar Restaurant,scrape,Verano Bay
D100327,Ironwood Trattoria,Eligible,Priya Shah,,2026-02-05,2026-02-11,Emily Rossi,555.999.4582,"1 location, asked for callback",ironclad,human_call,Verano Bay
D100362,Harrow Osteria,Eligible,Aisha Karim,,2026-03-13,2026-03-16,,+15555894188,"bluecrest, Raj Williams (Managing Partner), happy with current setup",Bluecrest,ai_call,Verano Bay
D100337,Cobalt Tavern,Walked-in,Priya Shah,,2026-02-07,2026-02-17,,555.897.9124,Omar Rodriguez (General Manager),,walk-in,Verano Bay
D100166,Wren House,Eligible,Tom Brennan,,2026-06-23,2026-06-23,,+1 555 342 4888,,,human_call,Verano Bay
D100240,Kettle Chophouse,Not Qualified,Marco Ferrari,,2026-02-14,2026-04-18,,555-955-7005,,,human_call,Verano Bay
D100344,Loam Bistro,Eligible,Priya Shah,,2026-04-03,2026-04-07,Omar Doyle,+1 555 148 5078,"cadence mini, 40 locations",,walk-in,Verano Bay
D100274,Persimmon House,Eligible,Daniel Reyes,,2026-05-27,2026-05-31,David Chen,(555) 411-4412,"orbit, Peter Brown (Co-Owner), happy with current setup",Orbit Systems,scrape,Verano Bay
D100120,Lantern Dining Room,Eligible,Priya Shah,,2026-03-08,2026-03-20,,5552990860,"cadence mini, 22 locations",Cadence,scrape,Verano Bay
D100216,Nightjar Supper Club,Walked-in,Marco Ferrari,,2026-06-24,2026-08-03,,+1 555 636 1033,,Ironclad POS,referral,Verano Bay
D100097,Stonecutter Steakhouse,Eligible,Tom Brennan,,2026-05-29,2026-06-10,Tony Murphy,555.794.4268,"ironclad pos, Luis Nguyen (Co-Owner)",,referral,Verano Bay
D100090,Kettle Supper Club Verano Bay,Eligible,Aisha Karim,,2026-05-28,2026-06-06,Omar Rodriguez,555.709.6290,"1 location, asked for callback",ironcladpos,human_call,Verano Bay
D100453,Northbank House Verano Bay,KDM Demo,Tom Brennan,,2026-06-16,2026-06-27,,555.821.4370,Priya Andino (GM),,referral,Verano Bay
D100450,Warbler Wine Bar - Sunfield,Eligible,Priya Shah,,2026-04-30,2026-05-11,,555.614.6957,14 locations,,referral,Verano Bay
D100271,Bramble Alehouse - Miradero,Eligible,Marco Ferrari,,2026-05-09,2026-05-19,Jennifer Murphy,(555) 692-3145,1 location,,scrape,Verano Bay
D100151,Violet Grill,Eligible,Daniel Reyes,,2026-02-20,2026-02-28,,5551734875,Luis Okafor (Managing Partner),,ai_call,Verano Bay
D100480,NIGHTJAR STEAKHOUSE,Eligible,Marco Ferrari,,2026-03-06,2026-03-06,,+1 555 253 3715,"fernpost, Maria Vasquez (Owner), 1 location",FERNPOST,walk-in,Verano Bay
D100101,Wren Taqueria,Walked-in,Marco Ferrari,,2026-02-27,2026-04-27,,555.276.1243,"saltbox, Yolanda Williams (Owner)",saltbox,scrape,Verano Bay
D100348,Plumb Steakhouse,Walked-in,Aisha Karim,,2026-03-22,2026-05-19,,555-952-2596,"vellum pos, 1 location",,ai_call,Verano Bay
D100074,Redbird Steakhouse,Walked-in,Tom Brennan,,2026-07-03,2026-08-03,Luis Kim,5554359184,1 location,,walk-in,Verano Bay
D100421,Rosewater Alehouse,Eligible,Tom Brennan,,2026-06-06,2026-06-07,,+1 555 114 4960,"northstar, 10 locations",,scrape,Verano Bay
D100302,Pike House,Eligible,Aisha Karim,,2026-07-02,2026-07-09,Peter Rodriguez,+15554270852,"Jennifer Rodriguez (Managing Partner), 1 location",,human_call,Verano Bay
D100143,Little Bear Smokehouse,Verbal Yes,Priya Shah,,2026-03-14,2026-04-28,,(555) 520-6758,"Frank Vasquez (Co-Owner), 1 location",,referral,Verano Bay
D100455,Olive & Ash Kitchen,Walked-in,Tom Brennan,,2026-04-14,2026-05-13,,555-221-8191,"cadence station, Nicole Brown (Owner), 1 location, called twice, gatekeeper",Cadence Station,walk-in,Verano Bay
D100498,The Silverfin Brasserie,Eligible,Tom Brennan,,2026-07-21,2026-07-21,,5553083968,Elena Haddad (Owner),Tessera Express,human_call,Verano Bay
D100178,Little Bear Room,Closed Lost,Daniel Reyes,,2026-06-29,2026-08-03,,555.620.2962,"ironcladpos, 1 location",,human_call,Verano Bay
D100084,Rambler Brasserie,Eligible,Aisha Karim,,2026-03-25,2026-04-05,,5552268187,29 locations,,human_call,Verano Bay
D100058,Sorrel Cantina,Eligible,Tom Brennan,,2026-07-09,2026-07-17,,(555) 767-0784,cadence,Cadence Station,ai_call,Verano Bay
D100102,Redbird Taqueria,Eligible,Marco Ferrari,,2026-07-10,2026-07-17,,(555) 205-1354,cadence station,,human_call,Verano Bay
D100439,Mercado Tavern,Eligible,Priya Shah,,2026-04-30,2026-05-09,Rachel Nguyen,555-915-6548,Katherine Doyle (Managing Partner),,human_call,Verano Bay
D100137,Prairie Kitchen,Eligible,Tom Brennan,,2026-03-08,2026-03-14,,5552357387,"cadence, James Miller (Managing Partner), 7 locations",,referral,Verano Bay
D100198,Redbird Grill,Verbal Yes,Aisha Karim,,2026-02-27,2026-04-04,,555-439-3858,"cadence pos, Katherine Andino (Co-Owner)",,referral,Verano Bay
D100405,Thistle Tavern,Eligible,Tom Brennan,,2026-03-18,2026-03-25,Luis Silva,+15552151816,"called twice, gatekeeper",,ai_call,Verano Bay
D100003,Blue Heron Kitchen,Eligible,Priya Shah,,2026-02-21,2026-03-03,Emily Garcia,555-991-9223,"vellum, 1 location",,human_call,Verano Bay
D100499,Alder Alehouse,Eligible,Marco Ferrari,,2026-06-06,2026-06-06,,+15554530531,"Peter Williams (Owner), 1 location",,walk-in,Verano Bay
D100180,Sable Brasserie,Eligible,Marco Ferrari,,2026-05-17,2026-05-20,,+15554672602,"ironclad, Emily Doyle (Owner), 6 locations",,scrape,Verano Bay
D100150,Wildwood Table,Eligible,Marco Ferrari,,2026-03-17,2026-03-17,,+15553900080,"Linda Hernandez (Operations Manager), 1 location",FERNPOST,walk-in,Verano Bay
D100442,Blue Heron Smokehouse,Eligible,Tom Brennan,,2026-04-09,2026-04-17,,(555) 607-2815,"called twice, gatekeeper",,ai_call,Verano Bay
D100117,Amber Grill,Eligible,Marco Ferrari,,2026-02-23,2026-02-24,,(555) 344-3772,,,referral,Verano Bay
D100402,Juniper Dining Room,Walked-in,Aisha Karim,,2026-02-15,2026-02-25,,(555) 869-2322,"orbit systems, Christina Vasquez (Owner), 1 location",Orbit POS,walk-in,Verano Bay
D100125,MOTHERLAND TRATTORIA,Gatekeeper Demo,Priya Shah,,2026-03-12,2026-04-14,Emily Chen,5552397098,"cadence flex, Priya Vasquez (General Manager), happy with current setup",,ai_call,Verano Bay
